# ;;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:02:24
# ;;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Torkel Knutssongatan;8781;Urban Background;18.057808;59.316006
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;20;105
#NOX as NO2;Nitrogen oxides;ug.m-3;20;103
#O3;Ozone;ug.m-3;20;109
#PM10;Particulate matter < 10 µm;ug.m-3;20;107
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;20;102
#
Start;Slut;NO2 (105);NOX as NO2 (103);O3 (109);PM10 (107);PM2.5 (102)
2014-01-01 00:00;2014-01-01 01:00;5.60;6.50;43.8;55.9;52.4
2014-01-01 01:00;2014-01-01 02:00;5.40;6.10;47.8;13.5;9.20
2014-01-01 02:00;2014-01-01 03:00;3.50;4.40;48.4;12.1;5.90
2014-01-01 03:00;2014-01-01 04:00;2.30;2.90;50.5;14.5;6.90
2014-01-01 04:00;2014-01-01 05:00;2.30;3.00;49.7;10.7;7.80
2014-01-01 05:00;2014-01-01 06:00;3.20;4.00;44.4;13.3;8.20
2014-01-01 06:00;2014-01-01 07:00;4.50;5.00;42.6;13.1;9.10
2014-01-01 07:00;2014-01-01 08:00;5.30;5.80;45.9;12.9;8.80
2014-01-01 08:00;2014-01-01 09:00;3.40;4.10;49.3;14.9;9.90
2014-01-01 09:00;2014-01-01 10:00;4.20;5.10;48.3;18.8;13.1
2014-01-01 10:00;2014-01-01 11:00;4.60;6.00;49.5;19.5;15.9
2014-01-01 11:00;2014-01-01 12:00;7.40;9.20;46.1;21.7;16.1
2014-01-01 12:00;2014-01-01 13:00;4.60;6.10;51.2;20.5;14.6
2014-01-01 13:00;2014-01-01 14:00;4.80;5.90;52.0;22.0;16.1
2014-01-01 14:00;2014-01-01 15:00;4.80;6.10;51.5;22.0;18.8
2014-01-01 15:00;2014-01-01 16:00;5.60;6.90;45.9;22.5;17.1
2014-01-01 16:00;2014-01-01 17:00;6.30;7.20;47.2;21.5;17.3
2014-01-01 17:00;2014-01-01 18:00;8.60;9.40;43.5;28.6;23.2
2014-01-01 18:00;2014-01-01 19:00;10.1;11.2;39.1;26.7;24.3
2014-01-01 19:00;2014-01-01 20:00;8.80;9.80;38.8;23.0;19.2
2014-01-01 20:00;2014-01-01 21:00;5.30;6.30;40.8;22.2;16.5
2014-01-01 21:00;2014-01-01 22:00;5.80;7.00;35.6;28.1;22.2
2014-01-01 22:00;2014-01-01 23:00;5.50;6.30;37.3;24.5;19.6
2014-01-01 23:00;2014-01-02 00:00;3.50;4.30;45.8;17.7;15.2
2014-01-02 00:00;2014-01-02 01:00;4.70;5.60;41.2;26.3;20.9
2014-01-02 01:00;2014-01-02 02:00;5.30;6.40;40.5;30.5;21.7
2014-01-02 02:00;2014-01-02 03:00;6.70;7.70;38.7;28.9;24.1
2014-01-02 03:00;2014-01-02 04:00;4.70;5.70;38.9;32.4;25.4
2014-01-02 04:00;2014-01-02 05:00;5.90;6.90;36.8;32.0;27.8
2014-01-02 05:00;2014-01-02 06:00;6.10;7.00;33.7;31.2;24.6
2014-01-02 06:00;2014-01-02 07:00;11.7;13.0;27.9;29.5;22.8
2014-01-02 07:00;2014-01-02 08:00;14.5;16.6;23.4;34.8;27.8
2014-01-02 08:00;2014-01-02 09:00;12.2;14.7;27.7;32.0;25.2
2014-01-02 09:00;2014-01-02 10:00;11.1;13.3;41.5;20.0;15.8
2014-01-02 10:00;2014-01-02 11:00;7.90;10.2;43.1;22.8;16.6
2014-01-02 11:00;2014-01-02 12:00;9.70;11.9;37.8;26.1;20.3
2014-01-02 12:00;2014-01-02 13:00;8.80;10.7;37.9;26.0;22.1
2014-01-02 13:00;2014-01-02 14:00;9.50;14.5;35.9;25.0;18.8
2014-01-02 14:00;2014-01-02 15:00;11.9;44.0;31.5;28.0;17.7
2014-01-02 15:00;2014-01-02 16:00;12.9;15.4;36.7;24.9;16.3
2014-01-02 16:00;2014-01-02 17:00;13.4;14.9;41.8;19.8;10.1
2014-01-02 17:00;2014-01-02 18:00;11.7;13.5;38.6;24.3;16.8
2014-01-02 18:00;2014-01-02 19:00;8.80;10.0;43.7;22.1;14.9
2014-01-02 19:00;2014-01-02 20:00;5.70;6.70;46.3;21.4;15.4
2014-01-02 20:00;2014-01-02 21:00;5.20;6.20;46.1;18.7;16.0
2014-01-02 21:00;2014-01-02 22:00;5.00;5.70;47.1;19.6;15.0
2014-01-02 22:00;2014-01-02 23:00;4.00;5.00;47.1;19.5;15.6
2014-01-02 23:00;2014-01-03 00:00;4.00;4.60;47.5;23.4;18.2
2014-01-03 00:00;2014-01-03 01:00;4.20;4.70;45.2;24.7;19.2
2014-01-03 01:00;2014-01-03 02:00;3.80;4.80;43.4;23.5;18.9
2014-01-03 02:00;2014-01-03 03:00;3.30;4.00;41.6;26.6;21.4
2014-01-03 03:00;2014-01-03 04:00;3.40;4.20;41.7;27.8;23.1
2014-01-03 04:00;2014-01-03 05:00;3.10;3.60;42.5;24.4;19.2
2014-01-03 05:00;2014-01-03 06:00;4.10;4.90;40.8;17.4;13.3
2014-01-03 06:00;2014-01-03 07:00;7.80;9.50;40.5;12.4;9.10
2014-01-03 07:00;2014-01-03 08:00;10.1;12.1;34.5;13.4;10.5
2014-01-03 08:00;2014-01-03 09:00;12.1;14.5;30.2;14.7;13.0
2014-01-03 09:00;2014-01-03 10:00;10.8;13.3;30.7;20.0;15.6
2014-01-03 10:00;2014-01-03 11:00;10.8;13.4;28.8;25.8;20.8
2014-01-03 11:00;2014-01-03 12:00;12.4;14.9;25.2;29.5;25.3
2014-01-03 12:00;2014-01-03 13:00;12.1;15.1;21.4;34.4;30.0
2014-01-03 13:00;2014-01-03 14:00;12.7;15.5;16.8;41.1;36.7
2014-01-03 14:00;2014-01-03 15:00;16.1;19.5;11.3;43.4;37.2
2014-01-03 15:00;2014-01-03 16:00;15.3;18.5;9.90;43.2;35.5
2014-01-03 16:00;2014-01-03 17:00;14.5;17.3;9.30;36.5;30.8
2014-01-03 17:00;2014-01-03 18:00;14.8;17.8;7.80;29.2;24.9
2014-01-03 18:00;2014-01-03 19:00;12.4;14.9;10.2;24.3;20.3
2014-01-03 19:00;2014-01-03 20:00;10.1;12.1;13.6;18.9;15.8
2014-01-03 20:00;2014-01-03 21:00;8.40;10.1;20.8;17.4;11.5
2014-01-03 21:00;2014-01-03 22:00;7.60;8.90;31.2;7.40;3.00
2014-01-03 22:00;2014-01-03 23:00;7.30;8.00;46.8;5.90;1.10
2014-01-03 23:00;2014-01-04 00:00;5.60;6.20;52.9;12.5;5.60
2014-01-04 00:00;2014-01-04 01:00;4.30;5.20;46.8;11.1;3.80
2014-01-04 01:00;2014-01-04 02:00;3.30;4.80;47.9;13.6;5.30
2014-01-04 02:00;2014-01-04 03:00;5.20;6.10;40.0;25.0;18.6
2014-01-04 03:00;2014-01-04 04:00;4.80;5.90;37.4;17.3;13.6
2014-01-04 04:00;2014-01-04 05:00;5.90;6.80;33.3;5.40;4.80
2014-01-04 05:00;2014-01-04 06:00;5.70;6.60;31.6;7.10;5.10
2014-01-04 06:00;2014-01-04 07:00;7.50;8.60;27.1;12.6;9.00
2014-01-04 07:00;2014-01-04 08:00;8.20;9.10;24.4;9.40;7.40
2014-01-04 08:00;2014-01-04 09:00;7.10;8.40;24.4;5.50;2.80
2014-01-04 09:00;2014-01-04 10:00;7.90;9.50;24.9;6.70;5.60
2014-01-04 10:00;2014-01-04 11:00;9.70;11.9;23.4;8.50;7.20
2014-01-04 11:00;2014-01-04 12:00;9.10;11.4;28.0;1.00;-0.500
2014-01-04 12:00;2014-01-04 13:00;9.20;11.7;31.9;-1.60;
2014-01-04 13:00;2014-01-04 14:00;15.7;18.0;25.1;3.30;0.500
2014-01-04 14:00;2014-01-04 15:00;20.3;22.6;29.1;4.20;-1.40
2014-01-04 15:00;2014-01-04 16:00;16.0;17.2;43.5;5.50;-0.200
2014-01-04 16:00;2014-01-04 17:00;7.70;8.50;51.2;5.50;-1.00
2014-01-04 17:00;2014-01-04 18:00;5.60;6.50;54.2;6.00;1.30
2014-01-04 18:00;2014-01-04 19:00;4.90;5.80;54.5;5.50;2.70
2014-01-04 19:00;2014-01-04 20:00;5.00;5.70;54.1;7.00;1.10
2014-01-04 20:00;2014-01-04 21:00;6.20;6.70;52.6;6.00;2.40
2014-01-04 21:00;2014-01-04 22:00;6.50;7.50;52.9;6.60;1.20
2014-01-04 22:00;2014-01-04 23:00;4.10;4.90;53.1;7.50;0.600
2014-01-04 23:00;2014-01-05 00:00;4.30;5.00;51.4;7.50;2.00
2014-01-05 00:00;2014-01-05 01:00;6.60;7.60;45.8;8.70;1.10
2014-01-05 01:00;2014-01-05 02:00;5.40;5.80;45.9;9.40;3.80
2014-01-05 02:00;2014-01-05 03:00;4.30;5.00;44.9;9.00;1.90
2014-01-05 03:00;2014-01-05 04:00;4.50;5.30;44.0;7.60;-0.900
2014-01-05 04:00;2014-01-05 05:00;4.60;5.20;42.3;7.60;1.00
2014-01-05 05:00;2014-01-05 06:00;5.00;5.90;42.1;5.40;-0.900
2014-01-05 06:00;2014-01-05 07:00;3.20;4.10;42.6;3.30;-2.20
2014-01-05 07:00;2014-01-05 08:00;4.10;4.80;43.2;-0.600;-2.80
2014-01-05 08:00;2014-01-05 09:00;3.70;4.50;48.9;3.90;-0.400
2014-01-05 09:00;2014-01-05 10:00;6.20;7.50;46.8;7.30;1.40
2014-01-05 10:00;2014-01-05 11:00;6.70;8.00;47.9;5.70;1.00
2014-01-05 11:00;2014-01-05 12:00;5.50;6.40;50.9;7.70;0.400
2014-01-05 12:00;2014-01-05 13:00;6.00;7.20;49.3;5.00;1.90
2014-01-05 13:00;2014-01-05 14:00;6.00;7.50;48.7;2.80;0.800
2014-01-05 14:00;2014-01-05 15:00;8.70;10.3;46.3;4.80;4.30
2014-01-05 15:00;2014-01-05 16:00;15.6;16.3;44.1;12.5;4.80
2014-01-05 16:00;2014-01-05 17:00;8.10;8.90;55.0;15.1;0.100
2014-01-05 17:00;2014-01-05 18:00;9.90;10.7;55.3;21.6;5.50
2014-01-05 18:00;2014-01-05 19:00;8.90;9.70;56.9;20.9;6.60
2014-01-05 19:00;2014-01-05 20:00;3.50;4.40;59.6;15.5;4.80
2014-01-05 20:00;2014-01-05 21:00;3.90;4.70;58.8;17.6;6.30
2014-01-05 21:00;2014-01-05 22:00;4.10;4.90;59.8;22.0;11.7
2014-01-05 22:00;2014-01-05 23:00;4.10;5.00;57.8;18.9;7.60
2014-01-05 23:00;2014-01-06 00:00;4.10;5.00;54.9;15.4;7.50
2014-01-06 00:00;2014-01-06 01:00;4.00;4.90;49.9;4.50;2.20
2014-01-06 01:00;2014-01-06 02:00;5.30;6.30;44.4;1.90;1.10
2014-01-06 02:00;2014-01-06 03:00;3.00;3.40;41.3;2.10;-1.70
2014-01-06 03:00;2014-01-06 04:00;3.00;3.90;38.4;4.30;2.80
2014-01-06 04:00;2014-01-06 05:00;3.00;3.70;35.7;4.90;2.50
2014-01-06 05:00;2014-01-06 06:00;2.70;3.50;34.0;2.70;-0.400
2014-01-06 06:00;2014-01-06 07:00;5.00;5.60;29.3;8.30;4.70
2014-01-06 07:00;2014-01-06 08:00;13.6;14.8;20.7;6.30;3.90
2014-01-06 08:00;2014-01-06 09:00;9.90;11.1;23.4;4.30;4.60
2014-01-06 09:00;2014-01-06 10:00;9.20;10.9;23.6;-0.400;-2.40
2014-01-06 10:00;2014-01-06 11:00;7.20;9.30;24.5;5.80;0.600
2014-01-06 11:00;2014-01-06 12:00;5.60;7.40;28.4;5.00;2.10
2014-01-06 12:00;2014-01-06 13:00;7.50;10.1;28.6;;0.0
2014-01-06 13:00;2014-01-06 14:00;7.40;9.60;29.5;3.50;-0.300
2014-01-06 14:00;2014-01-06 15:00;9.40;11.5;34.9;;1.40
2014-01-06 15:00;2014-01-06 16:00;10.1;11.6;45.2;10.9;
2014-01-06 16:00;2014-01-06 17:00;7.30;8.30;59.3;12.2;
2014-01-06 17:00;2014-01-06 18:00;6.80;7.70;62.1;10.1;3.20
2014-01-06 18:00;2014-01-06 19:00;6.00;6.80;62.0;7.40;3.40
2014-01-06 19:00;2014-01-06 20:00;4.70;5.60;57.1;5.30;1.10
2014-01-06 20:00;2014-01-06 21:00;3.70;4.60;54.3;2.70;0.0
2014-01-06 21:00;2014-01-06 22:00;2.90;3.50;51.7;6.10;1.20
2014-01-06 22:00;2014-01-06 23:00;3.10;3.70;49.2;5.50;
2014-01-06 23:00;2014-01-07 00:00;3.30;3.60;46.9;2.80;-0.700
2014-01-07 00:00;2014-01-07 01:00;2.70;3.20;44.1;2.20;-0.600
2014-01-07 01:00;2014-01-07 02:00;2.70;3.70;41.2;2.20;-2.00
2014-01-07 02:00;2014-01-07 03:00;2.50;3.00;39.4;1.20;-1.00
2014-01-07 03:00;2014-01-07 04:00;2.10;2.80;38.4;2.00;1.30
2014-01-07 04:00;2014-01-07 05:00;2.50;3.20;36.9;1.50;1.00
2014-01-07 05:00;2014-01-07 06:00;3.60;4.50;34.9;2.00;-0.400
2014-01-07 06:00;2014-01-07 07:00;10.0;11.7;30.2;5.20;3.00
2014-01-07 07:00;2014-01-07 08:00;16.6;20.2;26.2;3.90;0.600
2014-01-07 08:00;2014-01-07 09:00;18.3;22.3;23.9;6.10;4.40
2014-01-07 09:00;2014-01-07 10:00;17.2;20.9;22.5;3.20;2.00
2014-01-07 10:00;2014-01-07 11:00;28.9;39.5;12.1;5.70;-0.900
2014-01-07 11:00;2014-01-07 12:00;34.6;45.7;8.10;4.90;-1.10
2014-01-07 12:00;2014-01-07 13:00;32.1;47.0;9.00;3.20;-1.00
2014-01-07 13:00;2014-01-07 14:00;21.6;28.3;16.0;2.20;-1.60
2014-01-07 14:00;2014-01-07 15:00;27.5;38.0;13.7;7.90;0.100
2014-01-07 15:00;2014-01-07 16:00;41.9;55.3;7.50;8.90;1.40
2014-01-07 16:00;2014-01-07 17:00;26.9;29.7;20.4;8.30;1.80
2014-01-07 17:00;2014-01-07 18:00;16.0;17.7;31.0;7.30;1.20
2014-01-07 18:00;2014-01-07 19:00;11.7;12.9;39.0;8.10;1.50
2014-01-07 19:00;2014-01-07 20:00;8.00;9.10;44.1;9.10;2.20
2014-01-07 20:00;2014-01-07 21:00;9.00;10.1;43.6;8.70;0.200
2014-01-07 21:00;2014-01-07 22:00;6.60;7.40;47.4;7.50;-0.200
2014-01-07 22:00;2014-01-07 23:00;5.30;6.20;50.0;13.5;5.60
2014-01-07 23:00;2014-01-08 00:00;3.40;4.30;52.0;11.2;2.60
2014-01-08 00:00;2014-01-08 01:00;3.60;4.60;49.5;11.0;5.10
2014-01-08 01:00;2014-01-08 02:00;3.60;4.30;46.6;9.40;5.10
2014-01-08 02:00;2014-01-08 03:00;2.80;3.70;45.4;7.70;3.10
2014-01-08 03:00;2014-01-08 04:00;2.70;3.30;45.2;1.20;-1.50
