# ;;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:02:36
# ;;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Sveavägen 59 Gata;8779;Urban Traffic;18.058254;59.340828
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#CO;Carbon monoxide;mg.m-3;3;185
#NO2;Nitrogen dioxide;ug.m-3;3;183
#NOX as NO2;Nitrogen oxides;ug.m-3;3;184
#PM10;Particulate matter < 10 µm;ug.m-3;3;182
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;181
#
Start;Slut;CO (185);NO2 (183);NOX as NO2 (184);PM10 (182);PM2.5 (181)
2016-01-01 00:00;2016-01-01 01:00;0.270;31.8;47.1;36.3;27.0
2016-01-01 01:00;2016-01-01 02:00;0.300;32.3;48.3;15.8;9.00
2016-01-01 02:00;2016-01-01 03:00;0.280;25.9;36.2;14.4;8.50
2016-01-01 03:00;2016-01-01 04:00;0.470;36.1;55.6;13.9;6.00
2016-01-01 04:00;2016-01-01 05:00;0.300;30.2;47.7;16.0;7.00
2016-01-01 05:00;2016-01-01 06:00;0.300;29.3;43.4;16.3;7.10
2016-01-01 06:00;2016-01-01 07:00;0.260;18.1;25.2;13.4;6.60
2016-01-01 07:00;2016-01-01 08:00;0.290;13.3;16.0;11.8;7.20
2016-01-01 08:00;2016-01-01 09:00;0.210;6.00;6.70;11.2;4.80
2016-01-01 09:00;2016-01-01 10:00;0.230;10.9;14.1;11.9;6.50
2016-01-01 10:00;2016-01-01 11:00;0.220;11.2;16.0;14.4;5.90
2016-01-01 11:00;2016-01-01 12:00;0.220;11.8;14.0;24.5;6.20
2016-01-01 12:00;2016-01-01 13:00;0.230;12.0;13.7;29.0;6.60
2016-01-01 13:00;2016-01-01 14:00;0.250;17.6;24.0;19.3;4.50
2016-01-01 14:00;2016-01-01 15:00;0.250;15.1;17.3;29.5;3.50
2016-01-01 15:00;2016-01-01 16:00;0.210;14.1;15.8;20.5;4.00
2016-01-01 16:00;2016-01-01 17:00;0.200;11.7;13.4;16.8;-0.200
2016-01-01 17:00;2016-01-01 18:00;0.230;14.9;19.3;20.0;5.30
2016-01-01 18:00;2016-01-01 19:00;0.220;8.70;9.70;16.8;5.30
2016-01-01 19:00;2016-01-01 20:00;0.240;15.8;19.7;24.9;4.70
2016-01-01 20:00;2016-01-01 21:00;0.200;9.60;11.4;17.1;3.60
