# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:02:40
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm E4 Skonertvägen;157993;Urban Traffic;18.00404;59.3133
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;2;4207
#NOX as NO2;Nitrogen oxides;ug.m-3;2;4208
#PM10;Particulate matter < 10 µm;ug.m-3;2;4209
#
Start;Slut;NO2 (4207);NOX as NO2 (4208);PM10 (4209)
2017-06-16 10:00;2017-06-16 11:00;63.6;147.0;
2017-06-16 11:00;2017-06-16 12:00;64.5;161.1;
2017-06-16 12:00;2017-06-16 13:00;67.5;172.4;
2017-06-16 13:00;2017-06-16 14:00;;;
2017-06-16 14:00;2017-06-16 15:00;70.8;167.2;24.4
2017-06-16 15:00;2017-06-16 16:00;81.5;174.9;33.7
2017-06-16 16:00;2017-06-16 17:00;63.1;133.9;
2017-06-16 17:00;2017-06-16 18:00;63.6;136.4;
2017-06-16 18:00;2017-06-16 19:00;72.7;155.5;
2017-06-16 19:00;2017-06-16 20:00;70.1;138.1;
2017-06-16 20:00;2017-06-16 21:00;57.2;98.0;22.9
2017-06-16 21:00;2017-06-16 22:00;66.4;130.7;21.9
2017-06-16 22:00;2017-06-16 23:00;51.9;94.2;18.0
2017-06-16 23:00;2017-06-17 00:00;44.0;73.9;17.3
2017-06-17 00:00;2017-06-17 01:00;38.2;64.9;15.7
2017-06-17 01:00;2017-06-17 02:00;23.1;39.5;10.9
2017-06-17 02:00;2017-06-17 03:00;25.4;37.8;10.2
2017-06-17 03:00;2017-06-17 04:00;26.8;42.5;10.8
2017-06-17 04:00;2017-06-17 05:00;18.9;22.2;9.20
2017-06-17 05:00;2017-06-17 06:00;9.60;10.8;6.90
2017-06-17 06:00;2017-06-17 07:00;5.50;6.30;4.80
2017-06-17 07:00;2017-06-17 08:00;4.60;8.80;5.50
