# ;;;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:02:47
# ;;;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Torkel Knutssongatan;8781;Urban Background;18.057808;59.316006
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#Black Carbon;black_carbon;ug.m-3;20;410
#NO2;Nitrogen dioxide;ug.m-3;20;105
#NOX as NO2;Nitrogen oxides;ug.m-3;20;103
#O3;Ozone;ug.m-3;20;109
#PM10;Particulate matter < 10 µm;ug.m-3;20;107
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;20;102
#
Start;Slut;Black Carbon (410);NO2 (105);NOX as NO2 (103);O3 (109);PM10 (107);PM2.5 (102)
2017-01-01 00:00;2017-01-01 01:00;;7.20;8.00;48.1;71.8;27.7
2017-01-01 01:00;2017-01-01 02:00;;4.20;5.00;46.5;18.1;9.30
2017-01-01 02:00;2017-01-01 03:00;;4.50;5.20;46.9;12.2;6.10
2017-01-01 03:00;2017-01-01 04:00;;3.60;4.20;49.8;7.90;3.50
2017-01-01 04:00;2017-01-01 05:00;;5.20;5.80;55.1;8.50;2.40
2017-01-01 05:00;2017-01-01 06:00;;2.60;3.30;51.0;8.50;3.50
2017-01-01 06:00;2017-01-01 07:00;;1.00;1.50;51.7;10.5;4.10
2017-01-01 07:00;2017-01-01 08:00;;0.900;1.60;50.0;10.1;4.40
2017-01-01 08:00;2017-01-01 09:00;;1.30;2.00;48.9;12.0;4.30
2017-01-01 09:00;2017-01-01 10:00;;2.10;3.10;49.5;10.4;4.00
2017-01-01 10:00;2017-01-01 11:00;;3.10;4.20;46.9;9.10;3.90
2017-01-01 11:00;2017-01-01 12:00;;3.10;4.30;50.5;3.20;2.90
2017-01-01 12:00;2017-01-01 13:00;;4.00;5.40;59.6;4.40;1.80
2017-01-01 13:00;2017-01-01 14:00;;5.30;6.70;62.3;15.6;1.80
2017-01-01 14:00;2017-01-01 15:00;;7.20;8.40;58.3;13.1;1.90
2017-01-01 15:00;2017-01-01 16:00;;8.90;9.80;56.9;14.0;2.40
2017-01-01 16:00;2017-01-01 17:00;;11.4;12.3;55.4;16.8;3.00
2017-01-01 17:00;2017-01-01 18:00;;9.00;10.2;56.9;16.8;3.30
2017-01-01 18:00;2017-01-01 19:00;;8.60;9.60;56.2;15.5;2.70
2017-01-01 19:00;2017-01-01 20:00;;10.5;11.6;55.8;15.1;3.10
2017-01-01 20:00;2017-01-01 21:00;;7.80;8.60;56.0;12.1;2.90
2017-01-01 21:00;2017-01-01 22:00;;5.50;6.40;55.9;9.60;2.70
2017-01-01 22:00;2017-01-01 23:00;;5.90;6.70;55.7;8.00;2.20
2017-01-01 23:00;2017-01-02 00:00;;3.00;3.70;60.2;5.10;1.60
2017-01-02 00:00;2017-01-02 01:00;;1.80;2.60;61.0;5.20;1.40
2017-01-02 01:00;2017-01-02 02:00;;2.10;2.90;59.2;5.50;1.20
2017-01-02 02:00;2017-01-02 03:00;;1.80;2.40;58.9;4.30;1.50
2017-01-02 03:00;2017-01-02 04:00;;1.70;2.30;57.8;4.60;1.90
2017-01-02 04:00;2017-01-02 05:00;;2.40;3.30;57.0;3.70;1.30
2017-01-02 05:00;2017-01-02 06:00;;4.40;4.90;56.2;2.50;1.00
2017-01-02 06:00;2017-01-02 07:00;;12.7;14.3;49.4;4.80;1.20
2017-01-02 07:00;2017-01-02 08:00;;18.6;21.2;45.9;6.40;1.40
2017-01-02 08:00;2017-01-02 09:00;;23.0;26.1;42.4;8.10;1.70
2017-01-02 09:00;2017-01-02 10:00;;20.0;22.8;46.3;7.90;1.70
2017-01-02 10:00;2017-01-02 11:00;;15.9;19.3;52.1;9.80;2.10
