# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:03:00
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Hornsgatan 108 Tak;18638;Urban Background;18.04866;59.317223
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#CO;Carbon monoxide;mg.m-3;20;540
#NO2;Nitrogen dioxide;ug.m-3;20;538
#NOX as NO2;Nitrogen oxides;ug.m-3;20;539
#
Start;Slut;CO (540);NO2 (538);NOX as NO2 (539)
2019-01-01 00:00;2019-01-01 01:00;0.200;6.90;17.2
2019-01-01 01:00;2019-01-01 02:00;0.100;7.50;13.6
2019-01-01 02:00;2019-01-01 03:00;0.100;4.50;9.20
2019-01-01 03:00;2019-01-01 04:00;0.100;3.40;8.60
2019-01-01 04:00;2019-01-01 05:00;0.100;4.70;7.40
2019-01-01 05:00;2019-01-01 06:00;0.100;3.20;4.90
2019-01-01 06:00;2019-01-01 07:00;0.100;2.10;4.40
2019-01-01 07:00;2019-01-01 08:00;0.100;2.80;4.90
2019-01-01 08:00;2019-01-01 09:00;0.100;2.10;3.50
2019-01-01 09:00;2019-01-01 10:00;0.100;1.70;3.50
2019-01-01 10:00;2019-01-01 11:00;0.100;2.30;4.60
2019-01-01 11:00;2019-01-01 12:00;0.100;3.60;5.30
2019-01-01 12:00;2019-01-01 13:00;0.100;4.20;5.50
2019-01-01 13:00;2019-01-01 14:00;0.100;4.30;6.20
2019-01-01 14:00;2019-01-01 15:00;0.100;4.70;6.50
2019-01-01 15:00;2019-01-01 16:00;0.100;5.50;7.10
2019-01-01 16:00;2019-01-01 17:00;0.100;4.70;6.10
2019-01-01 17:00;2019-01-01 18:00;0.100;4.50;6.10
2019-01-01 18:00;2019-01-01 19:00;0.100;3.20;4.90
2019-01-01 19:00;2019-01-01 20:00;0.100;3.40;4.40
2019-01-01 20:00;2019-01-01 21:00;0.100;3.50;4.80
2019-01-01 21:00;2019-01-01 22:00;0.100;2.00;3.20
2019-01-01 22:00;2019-01-01 23:00;0.100;2.30;3.30
2019-01-01 23:00;2019-01-02 00:00;0.100;2.60;4.00
2019-01-02 00:00;2019-01-02 01:00;0.200;2.00;3.50
2019-01-02 01:00;2019-01-02 02:00;0.100;2.20;3.20
2019-01-02 02:00;2019-01-02 03:00;0.100;1.20;1.80
2019-01-02 03:00;2019-01-02 04:00;0.200;1.10;2.10
2019-01-02 04:00;2019-01-02 05:00;0.200;1.00;2.20
2019-01-02 05:00;2019-01-02 06:00;0.200;1.60;2.50
2019-01-02 06:00;2019-01-02 07:00;0.200;2.40;2.70
2019-01-02 07:00;2019-01-02 08:00;0.200;2.90;4.40
2019-01-02 08:00;2019-01-02 09:00;0.200;5.40;7.70
2019-01-02 09:00;2019-01-02 10:00;0.200;4.30;6.10
2019-01-02 10:00;2019-01-02 11:00;0.200;3.90;5.20
2019-01-02 11:00;2019-01-02 12:00;0.200;4.20;5.80
2019-01-02 12:00;2019-01-02 13:00;0.200;4.10;5.50
2019-01-02 13:00;2019-01-02 14:00;0.200;4.80;6.60
2019-01-02 14:00;2019-01-02 15:00;0.200;7.70;9.50
2019-01-02 15:00;2019-01-02 16:00;0.200;9.10;11.4
2019-01-02 16:00;2019-01-02 17:00;0.300;11.3;13.1
2019-01-02 17:00;2019-01-02 18:00;0.200;12.3;13.7
2019-01-02 18:00;2019-01-02 19:00;0.200;8.40;9.90
2019-01-02 19:00;2019-01-02 20:00;0.200;5.50;6.90
2019-01-02 20:00;2019-01-02 21:00;0.200;5.70;6.50
2019-01-02 21:00;2019-01-02 22:00;0.200;5.80;8.00
2019-01-02 22:00;2019-01-02 23:00;0.200;6.60;10.5
2019-01-02 23:00;2019-01-03 00:00;0.200;4.30;7.10
2019-01-03 00:00;2019-01-03 01:00;;5.10;6.80
2019-01-03 01:00;2019-01-03 02:00;0.100;5.10;6.20
2019-01-03 02:00;2019-01-03 03:00;0.100;3.40;4.30
2019-01-03 03:00;2019-01-03 04:00;0.100;3.50;4.70
2019-01-03 04:00;2019-01-03 05:00;0.100;3.40;4.00
2019-01-03 05:00;2019-01-03 06:00;0.100;4.70;5.50
2019-01-03 06:00;2019-01-03 07:00;0.100;10.0;10.6
2019-01-03 07:00;2019-01-03 08:00;0.100;16.4;18.1
2019-01-03 08:00;2019-01-03 09:00;0.100;14.9;17.9
2019-01-03 09:00;2019-01-03 10:00;0.100;19.9;23.4
2019-01-03 10:00;2019-01-03 11:00;0.100;25.3;31.5
2019-01-03 11:00;2019-01-03 12:00;0.100;32.4;44.2
2019-01-03 12:00;2019-01-03 13:00;0.200;27.8;38.5
2019-01-03 13:00;2019-01-03 14:00;0.100;25.4;32.6
2019-01-03 14:00;2019-01-03 15:00;0.100;34.2;42.1
2019-01-03 15:00;2019-01-03 16:00;0.200;40.0;52.2
2019-01-03 16:00;2019-01-03 17:00;0.200;49.7;63.4
2019-01-03 17:00;2019-01-03 18:00;0.200;51.6;67.7
2019-01-03 18:00;2019-01-03 19:00;0.200;44.3;55.6
2019-01-03 19:00;2019-01-03 20:00;0.200;18.7;25.0
2019-01-03 20:00;2019-01-03 21:00;0.100;12.4;17.6
2019-01-03 21:00;2019-01-03 22:00;0.100;11.8;14.8
2019-01-03 22:00;2019-01-03 23:00;0.200;8.70;12.7
2019-01-03 23:00;2019-01-04 00:00;0.200;4.00;6.60
2019-01-04 00:00;2019-01-04 01:00;0.100;4.00;6.00
2019-01-04 01:00;2019-01-04 02:00;0.200;2.60;4.80
2019-01-04 02:00;2019-01-04 03:00;0.200;3.40;5.80
2019-01-04 03:00;2019-01-04 04:00;0.200;2.80;5.20
2019-01-04 04:00;2019-01-04 05:00;0.200;2.60;4.60
2019-01-04 05:00;2019-01-04 06:00;0.200;4.50;6.50
2019-01-04 06:00;2019-01-04 07:00;0.200;7.00;9.40
2019-01-04 07:00;2019-01-04 08:00;0.200;10.9;13.6
2019-01-04 08:00;2019-01-04 09:00;0.200;12.3;16.4
2019-01-04 09:00;2019-01-04 10:00;0.200;12.2;15.7
2019-01-04 10:00;2019-01-04 11:00;0.200;10.6;14.7
2019-01-04 11:00;2019-01-04 12:00;0.200;10.5;14.2
