# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:03:01
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Hornsgatan 85 Gatunivå;18639;Urban Traffic;18.049046;59.31709
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#CO;Carbon monoxide;mg.m-3;3;536
#NO2;Nitrogen dioxide;ug.m-3;3;534
#NOX as NO2;Nitrogen oxides;ug.m-3;3;535
#
Start;Slut;CO (536);NO2 (534);NOX as NO2 (535)
2019-01-01 00:00;2019-01-01 01:00;0.400;30.8;65.7
2019-01-01 01:00;2019-01-01 02:00;0.100;25.5;50.6
2019-01-01 02:00;2019-01-01 03:00;0.200;10.5;21.1
2019-01-01 03:00;2019-01-01 04:00;0.100;9.70;15.2
2019-01-01 04:00;2019-01-01 05:00;0.100;13.8;21.8
2019-01-01 05:00;2019-01-01 06:00;0.100;9.70;14.5
2019-01-01 06:00;2019-01-01 07:00;0.100;7.80;11.1
2019-01-01 07:00;2019-01-01 08:00;0.100;3.90;5.20
2019-01-01 08:00;2019-01-01 09:00;0.100;3.10;4.20
2019-01-01 09:00;2019-01-01 10:00;0.100;3.60;5.00
2019-01-01 10:00;2019-01-01 11:00;0.100;4.40;5.90
2019-01-01 11:00;2019-01-01 12:00;0.100;5.40;7.70
2019-01-01 12:00;2019-01-01 13:00;0.100;6.40;8.10
2019-01-01 13:00;2019-01-01 14:00;0.200;9.80;13.7
2019-01-01 14:00;2019-01-01 15:00;0.100;7.50;9.30
2019-01-01 15:00;2019-01-01 16:00;0.200;9.40;12.3
2019-01-01 16:00;2019-01-01 17:00;0.100;7.80;10.2
2019-01-01 17:00;2019-01-01 18:00;0.100;7.40;9.20
2019-01-01 18:00;2019-01-01 19:00;0.100;5.40;7.10
2019-01-01 19:00;2019-01-01 20:00;0.100;5.30;7.20
2019-01-01 20:00;2019-01-01 21:00;0.100;4.40;7.00
2019-01-01 21:00;2019-01-01 22:00;0.100;2.90;4.50
2019-01-01 22:00;2019-01-01 23:00;0.100;2.30;3.60
2019-01-01 23:00;2019-01-02 00:00;0.100;2.60;3.50
2019-01-02 00:00;2019-01-02 01:00;0.200;2.40;3.60
2019-01-02 01:00;2019-01-02 02:00;0.100;2.80;5.80
2019-01-02 02:00;2019-01-02 03:00;0.100;0.900;2.00
2019-01-02 03:00;2019-01-02 04:00;0.200;0.800;1.30
2019-01-02 04:00;2019-01-02 05:00;0.200;1.30;2.00
2019-01-02 05:00;2019-01-02 06:00;0.200;1.10;2.60
2019-01-02 06:00;2019-01-02 07:00;0.200;4.30;6.90
2019-01-02 07:00;2019-01-02 08:00;0.200;4.90;6.80
2019-01-02 08:00;2019-01-02 09:00;0.200;6.70;11.1
2019-01-02 09:00;2019-01-02 10:00;0.200;7.60;10.6
2019-01-02 10:00;2019-01-02 11:00;0.200;5.50;8.60
2019-01-02 11:00;2019-01-02 12:00;0.200;7.50;11.6
2019-01-02 12:00;2019-01-02 13:00;0.200;12.0;18.3
2019-01-02 13:00;2019-01-02 14:00;0.200;9.80;13.7
2019-01-02 14:00;2019-01-02 15:00;0.300;15.2;22.0
2019-01-02 15:00;2019-01-02 16:00;0.200;15.4;20.0
2019-01-02 16:00;2019-01-02 17:00;0.300;18.1;22.8
2019-01-02 17:00;2019-01-02 18:00;0.200;17.7;20.0
2019-01-02 18:00;2019-01-02 19:00;0.200;11.5;12.3
2019-01-02 19:00;2019-01-02 20:00;0.200;8.50;9.90
2019-01-02 20:00;2019-01-02 21:00;0.200;8.80;9.90
2019-01-02 21:00;2019-01-02 22:00;0.200;9.40;12.2
2019-01-02 22:00;2019-01-02 23:00;0.200;7.60;8.70
2019-01-02 23:00;2019-01-03 00:00;0.200;6.50;8.80
2019-01-03 00:00;2019-01-03 01:00;0.100;6.00;7.00
2019-01-03 01:00;2019-01-03 02:00;0.100;7.50;8.30
2019-01-03 02:00;2019-01-03 03:00;0.100;4.90;6.30
2019-01-03 03:00;2019-01-03 04:00;0.100;6.10;7.20
2019-01-03 04:00;2019-01-03 05:00;0.100;4.40;5.60
2019-01-03 05:00;2019-01-03 06:00;0.100;6.50;8.00
2019-01-03 06:00;2019-01-03 07:00;0.100;13.5;15.4
2019-01-03 07:00;2019-01-03 08:00;0.100;25.0;30.4
2019-01-03 08:00;2019-01-03 09:00;0.100;34.9;57.9
2019-01-03 09:00;2019-01-03 10:00;0.100;33.6;46.7
2019-01-03 10:00;2019-01-03 11:00;0.200;49.3;76.6
2019-01-03 11:00;2019-01-03 12:00;0.100;49.9;72.5
2019-01-03 12:00;2019-01-03 13:00;0.200;62.6;120.5
2019-01-03 13:00;2019-01-03 14:00;0.100;39.7;54.6
2019-01-03 14:00;2019-01-03 15:00;0.100;70.2;115.9
2019-01-03 15:00;2019-01-03 16:00;0.300;81.3;187.3
2019-01-03 16:00;2019-01-03 17:00;0.200;81.9;209.4
2019-01-03 17:00;2019-01-03 18:00;0.200;76.0;149.5
2019-01-03 18:00;2019-01-03 19:00;0.200;65.7;120.3
2019-01-03 19:00;2019-01-03 20:00;0.200;40.2;67.2
2019-01-03 20:00;2019-01-03 21:00;0.100;23.4;31.8
2019-01-03 21:00;2019-01-03 22:00;0.100;21.0;30.0
2019-01-03 22:00;2019-01-03 23:00;0.200;21.0;31.1
2019-01-03 23:00;2019-01-04 00:00;0.200;12.6;16.7
2019-01-04 00:00;2019-01-04 01:00;0.100;7.50;10.5
2019-01-04 01:00;2019-01-04 02:00;0.200;7.60;10.3
2019-01-04 02:00;2019-01-04 03:00;0.200;5.70;8.20
2019-01-04 03:00;2019-01-04 04:00;0.200;4.40;6.30
2019-01-04 04:00;2019-01-04 05:00;0.200;5.70;8.00
2019-01-04 05:00;2019-01-04 06:00;0.200;7.20;10.0
2019-01-04 06:00;2019-01-04 07:00;0.200;36.1;88.7
2019-01-04 07:00;2019-01-04 08:00;0.200;22.7;31.5
2019-01-04 08:00;2019-01-04 09:00;0.200;27.6;44.4
2019-01-04 09:00;2019-01-04 10:00;0.200;21.8;28.3
2019-01-04 10:00;2019-01-04 11:00;0.200;30.8;51.3
2019-01-04 11:00;2019-01-04 12:00;0.200;21.6;28.8
2019-01-04 12:00;2019-01-04 13:00;0.200;17.5;24.5
2019-01-04 13:00;2019-01-04 14:00;0.200;19.1;27.7
2019-01-04 14:00;2019-01-04 15:00;0.200;23.9;37.3
2019-01-04 15:00;2019-01-04 16:00;0.200;24.0;34.8
2019-01-04 16:00;2019-01-04 17:00;0.100;18.0;22.0
2019-01-04 17:00;2019-01-04 18:00;0.100;15.1;18.9
2019-01-04 18:00;2019-01-04 19:00;0.100;14.9;17.9
2019-01-04 19:00;2019-01-04 20:00;0.100;14.6;18.4
2019-01-04 20:00;2019-01-04 21:00;0.100;12.1;17.4
2019-01-04 21:00;2019-01-04 22:00;0.100;12.7;15.2
2019-01-04 22:00;2019-01-04 23:00;0.100;12.0;14.7
2019-01-04 23:00;2019-01-05 00:00;0.100;7.30;10.3
2019-01-05 00:00;2019-01-05 01:00;0.100;6.40;9.00
2019-01-05 01:00;2019-01-05 02:00;0.100;4.90;7.50
2019-01-05 02:00;2019-01-05 03:00;0.100;1.90;2.90
2019-01-05 03:00;2019-01-05 04:00;0.100;4.40;6.00
2019-01-05 04:00;2019-01-05 05:00;0.100;2.20;4.10
2019-01-05 05:00;2019-01-05 06:00;0.100;2.70;4.30
2019-01-05 06:00;2019-01-05 07:00;0.100;4.00;5.90
2019-01-05 07:00;2019-01-05 08:00;0.100;6.90;9.60
2019-01-05 08:00;2019-01-05 09:00;0.100;6.50;8.50
2019-01-05 09:00;2019-01-05 10:00;0.100;9.90;13.0
2019-01-05 10:00;2019-01-05 11:00;0.200;13.3;20.2
2019-01-05 11:00;2019-01-05 12:00;0.200;17.8;32.2
2019-01-05 12:00;2019-01-05 13:00;0.200;10.8;14.6
2019-01-05 13:00;2019-01-05 14:00;0.200;12.0;16.0
2019-01-05 14:00;2019-01-05 15:00;0.200;15.3;20.8
2019-01-05 15:00;2019-01-05 16:00;0.400;29.0;37.7
2019-01-05 16:00;2019-01-05 17:00;0.300;30.5;48.9
2019-01-05 17:00;2019-01-05 18:00;0.200;27.3;38.2
2019-01-05 18:00;2019-01-05 19:00;0.200;23.0;28.0
2019-01-05 19:00;2019-01-05 20:00;0.300;31.0;36.9
2019-01-05 20:00;2019-01-05 21:00;0.300;39.8;50.9
2019-01-05 21:00;2019-01-05 22:00;0.200;27.4;43.3
2019-01-05 22:00;2019-01-05 23:00;0.400;49.7;134.2
2019-01-05 23:00;2019-01-06 00:00;0.300;47.5;88.2
2019-01-06 00:00;2019-01-06 01:00;0.100;41.6;76.3
2019-01-06 01:00;2019-01-06 02:00;0.100;28.5;51.3
2019-01-06 02:00;2019-01-06 03:00;0.200;32.4;63.8
2019-01-06 03:00;2019-01-06 04:00;0.200;22.4;34.6
2019-01-06 04:00;2019-01-06 05:00;0.100;17.7;22.6
2019-01-06 05:00;2019-01-06 06:00;0.100;12.9;19.4
2019-01-06 06:00;2019-01-06 07:00;0.100;12.7;15.0
2019-01-06 07:00;2019-01-06 08:00;0.100;20.2;27.9
2019-01-06 08:00;2019-01-06 09:00;0.100;15.2;26.5
2019-01-06 09:00;2019-01-06 10:00;0.100;24.8;50.1
2019-01-06 10:00;2019-01-06 11:00;0.100;25.3;54.8
2019-01-06 11:00;2019-01-06 12:00;0.200;29.6;65.1
2019-01-06 12:00;2019-01-06 13:00;0.200;35.9;77.6
2019-01-06 13:00;2019-01-06 14:00;0.200;41.6;102.4
2019-01-06 14:00;2019-01-06 15:00;0.200;40.1;79.7
2019-01-06 15:00;2019-01-06 16:00;0.200;28.9;57.6
2019-01-06 16:00;2019-01-06 17:00;0.200;42.5;92.9
2019-01-06 17:00;2019-01-06 18:00;0.200;44.3;94.0
2019-01-06 18:00;2019-01-06 19:00;0.200;22.3;44.3
2019-01-06 19:00;2019-01-06 20:00;0.200;32.4;71.6
2019-01-06 20:00;2019-01-06 21:00;0.200;24.2;49.6
2019-01-06 21:00;2019-01-06 22:00;0.200;22.9;43.2
2019-01-06 22:00;2019-01-06 23:00;0.100;10.6;14.4
2019-01-06 23:00;2019-01-07 00:00;0.100;10.1;13.1
2019-01-07 00:00;2019-01-07 01:00;0.0;11.7;16.9
2019-01-07 01:00;2019-01-07 02:00;0.100;12.4;17.7
2019-01-07 02:00;2019-01-07 03:00;0.100;6.20;6.70
2019-01-07 03:00;2019-01-07 04:00;0.200;5.50;6.20
2019-01-07 04:00;2019-01-07 05:00;0.100;6.30;6.90
2019-01-07 05:00;2019-01-07 06:00;0.100;9.80;11.5
2019-01-07 06:00;2019-01-07 07:00;0.100;25.7;41.1
2019-01-07 07:00;2019-01-07 08:00;0.200;46.9;115.4
2019-01-07 08:00;2019-01-07 09:00;0.200;53.6;212.4
2019-01-07 09:00;2019-01-07 10:00;0.200;55.6;182.6
2019-01-07 10:00;2019-01-07 11:00;0.200;44.6;107.6
2019-01-07 11:00;2019-01-07 12:00;0.200;35.0;66.4
2019-01-07 12:00;2019-01-07 13:00;0.200;44.3;102.3
2019-01-07 13:00;2019-01-07 14:00;0.200;69.5;193.4
2019-01-07 14:00;2019-01-07 15:00;0.300;78.7;274.7
2019-01-07 15:00;2019-01-07 16:00;0.400;85.8;298.3
2019-01-07 16:00;2019-01-07 17:00;0.200;61.7;141.6
2019-01-07 17:00;2019-01-07 18:00;0.200;52.7;100.0
2019-01-07 18:00;2019-01-07 19:00;0.100;38.1;115.2
2019-01-07 19:00;2019-01-07 20:00;0.100;24.2;51.5
2019-01-07 20:00;2019-01-07 21:00;0.0;20.2;45.8
2019-01-07 21:00;2019-01-07 22:00;0.0;23.7;46.8
2019-01-07 22:00;2019-01-07 23:00;0.100;17.4;45.1
2019-01-07 23:00;2019-01-08 00:00;;11.2;22.5
2019-01-08 00:00;2019-01-08 01:00;0.200;7.90;15.4
2019-01-08 01:00;2019-01-08 02:00;0.100;6.60;8.60
2019-01-08 02:00;2019-01-08 03:00;0.100;5.90;8.20
2019-01-08 03:00;2019-01-08 04:00;0.100;5.00;10.1
2019-01-08 04:00;2019-01-08 05:00;0.100;5.00;11.3
2019-01-08 05:00;2019-01-08 06:00;0.100;7.80;14.5
2019-01-08 06:00;2019-01-08 07:00;0.200;41.7;84.2
2019-01-08 07:00;2019-01-08 08:00;0.200;76.0;166.6
2019-01-08 08:00;2019-01-08 09:00;0.200;79.5;190.7
2019-01-08 09:00;2019-01-08 10:00;0.400;50.9;90.3
2019-01-08 10:00;2019-01-08 11:00;0.200;45.5;79.9
2019-01-08 11:00;2019-01-08 12:00;0.200;22.1;28.2
2019-01-08 12:00;2019-01-08 13:00;0.200;22.0;31.5
2019-01-08 13:00;2019-01-08 14:00;0.200;24.0;36.3
2019-01-08 14:00;2019-01-08 15:00;0.200;23.8;41.3
2019-01-08 15:00;2019-01-08 16:00;0.300;28.0;43.3
2019-01-08 16:00;2019-01-08 17:00;0.200;21.6;31.8
2019-01-08 17:00;2019-01-08 18:00;0.200;18.2;23.1
2019-01-08 18:00;2019-01-08 19:00;0.200;11.8;15.9
2019-01-08 19:00;2019-01-08 20:00;0.200;9.40;12.8
2019-01-08 20:00;2019-01-08 21:00;0.200;7.40;11.1
2019-01-08 21:00;2019-01-08 22:00;0.100;7.00;8.80
2019-01-08 22:00;2019-01-08 23:00;0.100;4.00;5.30
2019-01-08 23:00;2019-01-09 00:00;0.100;2.50;3.50
2019-01-09 00:00;2019-01-09 01:00;0.100;1.70;2.40
2019-01-09 01:00;2019-01-09 02:00;0.100;2.10;3.80
2019-01-09 02:00;2019-01-09 03:00;0.100;2.30;4.40
2019-01-09 03:00;2019-01-09 04:00;0.100;1.60;2.60
2019-01-09 04:00;2019-01-09 05:00;0.100;1.90;3.50
2019-01-09 05:00;2019-01-09 06:00;0.100;2.20;3.70
2019-01-09 06:00;2019-01-09 07:00;0.100;6.80;9.50
2019-01-09 07:00;2019-01-09 08:00;0.100;14.9;22.5
2019-01-09 08:00;2019-01-09 09:00;0.100;14.8;22.8
2019-01-09 09:00;2019-01-09 10:00;0.200;15.1;23.0
2019-01-09 10:00;2019-01-09 11:00;0.200;16.6;22.3
2019-01-09 11:00;2019-01-09 12:00;0.200;12.8;19.0
2019-01-09 12:00;2019-01-09 13:00;0.200;12.2;17.3
2019-01-09 13:00;2019-01-09 14:00;0.200;10.5;14.0
2019-01-09 14:00;2019-01-09 15:00;0.200;11.2;16.4
2019-01-09 15:00;2019-01-09 16:00;0.200;20.9;33.6
2019-01-09 16:00;2019-01-09 17:00;0.300;27.0;40.2
2019-01-09 17:00;2019-01-09 18:00;0.200;16.5;22.5
2019-01-09 18:00;2019-01-09 19:00;0.200;16.5;20.2
2019-01-09 19:00;2019-01-09 20:00;0.200;17.2;20.8
2019-01-09 20:00;2019-01-09 21:00;0.200;18.5;23.3
2019-01-09 21:00;2019-01-09 22:00;0.200;13.4;16.9
2019-01-09 22:00;2019-01-09 23:00;0.200;11.7;14.0
2019-01-09 23:00;2019-01-10 00:00;0.200;16.8;29.5
2019-01-10 00:00;2019-01-10 01:00;;9.20;10.9
2019-01-10 01:00;2019-01-10 02:00;0.100;10.2;12.3
2019-01-10 02:00;2019-01-10 03:00;0.100;7.30;8.20
2019-01-10 03:00;2019-01-10 04:00;0.100;10.0;10.7
2019-01-10 04:00;2019-01-10 05:00;0.100;6.90;7.10
2019-01-10 05:00;2019-01-10 06:00;0.100;14.0;16.1
2019-01-10 06:00;2019-01-10 07:00;0.100;39.8;59.9
2019-01-10 07:00;2019-01-10 08:00;0.100;43.1;63.5
2019-01-10 08:00;2019-01-10 09:00;0.100;52.1;110.1
2019-01-10 09:00;2019-01-10 10:00;0.100;54.5;105.8
2019-01-10 10:00;2019-01-10 11:00;0.100;65.2;149.5
2019-01-10 11:00;2019-01-10 12:00;0.100;61.1;145.3
2019-01-10 12:00;2019-01-10 13:00;0.100;58.8;140.6
2019-01-10 13:00;2019-01-10 14:00;0.200;68.4;154.6
2019-01-10 14:00;2019-01-10 15:00;0.300;76.8;202.9
2019-01-10 15:00;2019-01-10 16:00;0.100;70.8;194.5
2019-01-10 16:00;2019-01-10 17:00;0.200;73.6;198.4
2019-01-10 17:00;2019-01-10 18:00;0.200;54.0;121.8
2019-01-10 18:00;2019-01-10 19:00;0.200;30.4;60.0
2019-01-10 19:00;2019-01-10 20:00;0.100;30.1;50.4
2019-01-10 20:00;2019-01-10 21:00;0.100;24.4;38.7
2019-01-10 21:00;2019-01-10 22:00;0.100;24.1;62.7
2019-01-10 22:00;2019-01-10 23:00;0.100;18.4;36.4
2019-01-10 23:00;2019-01-11 00:00;0.100;15.5;25.7
2019-01-11 00:00;2019-01-11 01:00;0.100;11.6;18.9
2019-01-11 01:00;2019-01-11 02:00;0.100;13.6;18.4
2019-01-11 02:00;2019-01-11 03:00;0.100;8.20;14.1
2019-01-11 03:00;2019-01-11 04:00;0.100;5.80;9.10
2019-01-11 04:00;2019-01-11 05:00;0.100;2.90;3.70
2019-01-11 05:00;2019-01-11 06:00;0.100;10.5;13.7
2019-01-11 06:00;2019-01-11 07:00;0.100;28.2;49.6
2019-01-11 07:00;2019-01-11 08:00;0.100;31.1;62.8
2019-01-11 08:00;2019-01-11 09:00;0.100;25.3;46.8
2019-01-11 09:00;2019-01-11 10:00;0.100;39.1;74.6
2019-01-11 10:00;2019-01-11 11:00;0.100;49.2;102.0
2019-01-11 11:00;2019-01-11 12:00;0.100;39.1;63.9
2019-01-11 12:00;2019-01-11 13:00;0.100;20.2;26.3
2019-01-11 13:00;2019-01-11 14:00;0.100;15.4;20.5
2019-01-11 14:00;2019-01-11 15:00;0.100;13.5;17.8
2019-01-11 15:00;2019-01-11 16:00;0.100;13.3;15.5
2019-01-11 16:00;2019-01-11 17:00;0.100;13.6;16.9
2019-01-11 17:00;2019-01-11 18:00;0.100;14.3;18.4
2019-01-11 18:00;2019-01-11 19:00;0.100;11.5;15.3
2019-01-11 19:00;2019-01-11 20:00;0.100;14.5;22.0
2019-01-11 20:00;2019-01-11 21:00;0.100;8.10;10.6
2019-01-11 21:00;2019-01-11 22:00;0.100;8.70;11.1
2019-01-11 22:00;2019-01-11 23:00;0.100;5.30;7.10
2019-01-11 23:00;2019-01-12 00:00;0.100;3.90;5.10
2019-01-12 00:00;2019-01-12 01:00;;3.00;4.20
2019-01-12 01:00;2019-01-12 02:00;;2.80;4.50
2019-01-12 02:00;2019-01-12 03:00;;1.50;2.60
2019-01-12 03:00;2019-01-12 04:00;;2.00;3.20
2019-01-12 04:00;2019-01-12 05:00;;2.60;3.20
2019-01-12 05:00;2019-01-12 06:00;;3.60;4.10
2019-01-12 06:00;2019-01-12 07:00;;5.60;7.50
2019-01-12 07:00;2019-01-12 08:00;;8.60;11.6
2019-01-12 08:00;2019-01-12 09:00;;18.5;33.7
2019-01-12 09:00;2019-01-12 10:00;;10.6;14.0
2019-01-12 10:00;2019-01-12 11:00;;19.5;33.8
2019-01-12 11:00;2019-01-12 12:00;;25.8;37.5
2019-01-12 12:00;2019-01-12 13:00;;21.9;31.7
2019-01-12 13:00;2019-01-12 14:00;;39.4;59.6
2019-01-12 14:00;2019-01-12 15:00;;50.3;91.2
2019-01-12 15:00;2019-01-12 16:00;;54.5;101.8
