# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:03:03
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Sveavägen 59 Tak;18640;Urban Background;18.058254;59.340828
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#CO;Carbon monoxide;mg.m-3;20;544
#NO2;Nitrogen dioxide;ug.m-3;20;542
#NOX as NO2;Nitrogen oxides;ug.m-3;20;543
#
Start;Slut;CO (544);NO2 (542);NOX as NO2 (543)
2019-01-01 00:00;2019-01-01 01:00;0.200;7.10;7.20
2019-01-01 01:00;2019-01-01 02:00;0.100;4.60;5.10
2019-01-01 02:00;2019-01-01 03:00;0.200;1.90;2.20
2019-01-01 03:00;2019-01-01 04:00;0.100;1.10;1.60
2019-01-01 04:00;2019-01-01 05:00;0.100;1.20;1.70
2019-01-01 05:00;2019-01-01 06:00;0.100;1.90;2.50
2019-01-01 06:00;2019-01-01 07:00;0.100;0.800;1.20
2019-01-01 07:00;2019-01-01 08:00;0.100;0.800;1.40
2019-01-01 08:00;2019-01-01 09:00;0.100;0.800;1.40
2019-01-01 09:00;2019-01-01 10:00;0.100;1.50;1.60
2019-01-01 10:00;2019-01-01 11:00;0.100;2.20;3.00
2019-01-01 11:00;2019-01-01 12:00;0.100;3.20;3.90
2019-01-01 12:00;2019-01-01 13:00;0.100;3.40;3.90
2019-01-01 13:00;2019-01-01 14:00;0.100;3.90;4.60
2019-01-01 14:00;2019-01-01 15:00;0.100;6.50;7.00
2019-01-01 15:00;2019-01-01 16:00;0.200;6.40;6.60
2019-01-01 16:00;2019-01-01 17:00;0.100;4.30;4.60
2019-01-01 17:00;2019-01-01 18:00;0.100;4.70;5.20
2019-01-01 18:00;2019-01-01 19:00;0.200;5.60;5.90
2019-01-01 19:00;2019-01-01 20:00;0.200;3.80;4.00
2019-01-01 20:00;2019-01-01 21:00;0.200;4.20;4.50
2019-01-01 21:00;2019-01-01 22:00;0.200;1.20;1.40
2019-01-01 22:00;2019-01-01 23:00;0.200;1.10;1.90
2019-01-01 23:00;2019-01-02 00:00;0.100;0.900;1.40
2019-01-02 00:00;2019-01-02 01:00;0.100;1.00;1.30
2019-01-02 01:00;2019-01-02 02:00;0.200;1.50;2.30
2019-01-02 02:00;2019-01-02 03:00;0.100;0.800;1.10
2019-01-02 03:00;2019-01-02 04:00;0.100;0.500;0.900
2019-01-02 04:00;2019-01-02 05:00;0.100;0.900;1.30
2019-01-02 05:00;2019-01-02 06:00;0.100;0.800;1.10
2019-01-02 06:00;2019-01-02 07:00;0.100;3.00;3.60
2019-01-02 07:00;2019-01-02 08:00;0.100;5.60;6.30
2019-01-02 08:00;2019-01-02 09:00;0.100;6.10;6.80
2019-01-02 09:00;2019-01-02 10:00;0.100;7.50;8.30
2019-01-02 10:00;2019-01-02 11:00;0.100;7.20;7.80
2019-01-02 11:00;2019-01-02 12:00;0.100;7.80;8.90
2019-01-02 12:00;2019-01-02 13:00;0.100;8.10;9.30
2019-01-02 13:00;2019-01-02 14:00;0.200;7.30;8.00
2019-01-02 14:00;2019-01-02 15:00;0.200;9.00;9.90
2019-01-02 15:00;2019-01-02 16:00;0.100;18.1;18.6
2019-01-02 16:00;2019-01-02 17:00;0.200;24.5;25.5
2019-01-02 17:00;2019-01-02 18:00;0.200;16.2;16.9
2019-01-02 18:00;2019-01-02 19:00;0.200;16.7;17.8
2019-01-02 19:00;2019-01-02 20:00;0.200;17.2;18.0
2019-01-02 20:00;2019-01-02 21:00;0.200;21.2;22.5
2019-01-02 21:00;2019-01-02 22:00;0.200;17.0;17.6
2019-01-02 22:00;2019-01-02 23:00;0.100;8.00;8.60
2019-01-02 23:00;2019-01-03 00:00;0.200;9.20;9.90
2019-01-03 00:00;2019-01-03 01:00;0.100;12.3;12.8
2019-01-03 01:00;2019-01-03 02:00;0.100;6.20;6.60
2019-01-03 02:00;2019-01-03 03:00;0.100;4.30;4.70
2019-01-03 03:00;2019-01-03 04:00;0.100;3.20;3.90
2019-01-03 04:00;2019-01-03 05:00;0.100;3.80;4.40
2019-01-03 05:00;2019-01-03 06:00;0.100;4.80;5.10
2019-01-03 06:00;2019-01-03 07:00;0.100;10.8;11.4
2019-01-03 07:00;2019-01-03 08:00;0.100;23.6;25.8
2019-01-03 08:00;2019-01-03 09:00;0.100;22.8;24.3
2019-01-03 09:00;2019-01-03 10:00;0.200;29.9;33.1
2019-01-03 10:00;2019-01-03 11:00;0.100;28.5;32.1
2019-01-03 11:00;2019-01-03 12:00;0.100;28.9;34.4
2019-01-03 12:00;2019-01-03 13:00;0.100;36.5;43.9
2019-01-03 13:00;2019-01-03 14:00;0.200;37.9;42.5
2019-01-03 14:00;2019-01-03 15:00;0.200;40.3;42.4
2019-01-03 15:00;2019-01-03 16:00;0.200;32.1;33.0
2019-01-03 16:00;2019-01-03 17:00;0.200;28.2;28.6
2019-01-03 17:00;2019-01-03 18:00;0.200;19.4;20.1
2019-01-03 18:00;2019-01-03 19:00;0.200;18.1;19.0
2019-01-03 19:00;2019-01-03 20:00;0.100;8.60;9.20
2019-01-03 20:00;2019-01-03 21:00;0.100;11.6;12.0
2019-01-03 21:00;2019-01-03 22:00;0.100;6.00;6.50
2019-01-03 22:00;2019-01-03 23:00;0.100;4.40;4.90
2019-01-03 23:00;2019-01-04 00:00;0.100;2.40;2.90
2019-01-04 00:00;2019-01-04 01:00;0.100;3.10;3.50
2019-01-04 01:00;2019-01-04 02:00;0.100;3.10;3.20
2019-01-04 02:00;2019-01-04 03:00;0.100;2.30;2.50
2019-01-04 03:00;2019-01-04 04:00;0.100;1.50;1.70
2019-01-04 04:00;2019-01-04 05:00;0.100;2.50;1.90
2019-01-04 05:00;2019-01-04 06:00;0.100;2.70;2.80
2019-01-04 06:00;2019-01-04 07:00;0.100;10.7;11.0
2019-01-04 07:00;2019-01-04 08:00;0.100;18.7;19.1
2019-01-04 08:00;2019-01-04 09:00;0.100;22.6;23.3
2019-01-04 09:00;2019-01-04 10:00;0.100;20.7;21.3
2019-01-04 10:00;2019-01-04 11:00;0.100;22.7;23.8
2019-01-04 11:00;2019-01-04 12:00;0.100;18.8;20.4
2019-01-04 12:00;2019-01-04 13:00;0.100;15.1;15.8
2019-01-04 13:00;2019-01-04 14:00;0.100;16.7;17.2
2019-01-04 14:00;2019-01-04 15:00;0.100;19.1;19.6
2019-01-04 15:00;2019-01-04 16:00;0.100;17.7;18.1
2019-01-04 16:00;2019-01-04 17:00;0.100;14.4;14.9
2019-01-04 17:00;2019-01-04 18:00;0.100;15.2;15.4
2019-01-04 18:00;2019-01-04 19:00;0.100;16.9;17.7
2019-01-04 19:00;2019-01-04 20:00;0.100;10.7;11.2
2019-01-04 20:00;2019-01-04 21:00;0.100;8.80;9.30
2019-01-04 21:00;2019-01-04 22:00;0.100;9.70;10.0
2019-01-04 22:00;2019-01-04 23:00;0.100;8.40;8.70
2019-01-04 23:00;2019-01-05 00:00;0.100;6.10;6.20
2019-01-05 00:00;2019-01-05 01:00;0.200;3.00;3.50
2019-01-05 01:00;2019-01-05 02:00;0.100;3.50;3.80
2019-01-05 02:00;2019-01-05 03:00;0.100;3.30;3.50
